timestamp,F,P,H,heat_demand,heat_satisfaction,PHR,eta_e,eta_h,profit,revenue_elec,revenue_heat,fuel_cost,boiler_fuel,SMP
61,144.43716507396908,19.805939649916233,97.00000000000001,97.0,1.0,0.20418494484449723,0.13712495423025803,0.6715723058557984,-11253190.935100969,2110.718988491573,4365000.000000001,15620301.65408946,0.0,106.57
62,139.97003625724838,19.3592258429388,94.0,94.0,1.0,0.20594921109509365,0.13830978658431461,0.6715723058557984,-10905121.134589884,2078.4064864979096,4230000.0,15137199.541076383,0.0,107.36
63,141.45907919615527,19.739145105833206,95.0,95.0,1.0,0.20778047479824427,0.1395396125720695,0.6715723058557984,-11021098.198029859,2135.3807175490365,4275000.0,15298233.578747408,0.0,108.18
64,136.99195037943457,19.419882786098214,92.0,92.0,1.0,0.2110856824575893,0.1417592985011881,0.6715723058557984,-10673001.881388009,2129.58434632353,4139999.9999999995,14815131.465734331,0.0,109.66
65,138.4809933183415,20.129429515559742,93.00000000000001,93.0,1.0,0.21644547866193267,0.14535878919705617,0.6715723058557984,-10788909.799533844,2255.7038715136246,4185000.0000000005,14976165.503405359,0.0,112.06
66,131.035778623807,19.114020914930894,88.00000000000001,88.0,1.0,0.21720478312421468,0.14586871704563747,0.6715723058557984,-10208846.899099395,2148.4159508382327,3960000.0000000005,14170995.315050233,0.0,112.4
67,107.21109160129663,15.743260410928148,72.0,72.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8352670.93672437,1779.775589455427,3240000.0,11594450.712313825,0.0,113.05
68,105.72204866238972,15.524604016331923,71.0,71.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8236661.618158753,1755.0564840463237,3195000.0,11433416.6746428,0.0,113.05
69,105.72204866238972,15.524604016331923,71.0,71.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8236661.618158753,1755.0564840463237,3195000.0,11433416.6746428,0.0,113.05
70,104.23300572348283,15.3059476217357,70.0,70.0,1.0,0.21865639459622427,0.14684357910910167,0.6715723058557984,-8120652.299593136,1730.3373786372208,3150000.0,11272382.636971774,0.0,113.05
71,104.23300572348283,14.88699021842953,70.0,70.0,1.0,0.21267128883470757,0.14282414783204908,0.6715723058557984,-8120739.559861366,1643.0771104080673,3150000.0,11272382.636971774,0.0,110.37
