date,SMP,LNG (kWh),branch,heat_demand,year,month,day,hour,ymd,imputated_temperature,season,heat_produce,electric_produce,heat_produce_MWh,total_energy,month,E_total,F_Month,F_hat,F_hat_MWh,eta_e,eta_h,eta_total,F_corrected,F_hat_corrected,F_hat_corr_MWh,eta_e_corr,eta_h_corr,eta_total_corr
2021-10-02 07:00:00,106.63,108.146,강남,80.0,2021,10.0,02,07,2021-10-02,17.2,가을,55.0,14.0,63.965,77.965,2021-10,63884.9342,1014725.0,1238.3676310493877,13.374370415333384,1.0467782456473127,4.782655034487883,5.829433280135195,6944014.586956522,8474.456521739132,97.45625,0.1436542038094016,0.6563457961905983,0.7999999999999999
2021-10-02 08:00:00,106.75,108.146,강남,87.0,2021,10.0,02,08,2021-10-02,18.0,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-02 09:00:00,107.61,108.146,강남,84.0,2021,10.0,02,09,2021-10-02,20.4,가을,51.0,14.0,59.313,73.313,2021-10,63884.9342,1014725.0,1164.4769593423168,12.576351160897024,1.113200468155617,4.716232811979578,5.829433280135195,6944014.586956522,7968.804347826087,91.64125,0.1527696315796652,0.6472303684203348,0.8
2021-10-02 10:00:00,106.69,108.146,강남,85.0,2021,10.0,02,10,2021-10-02,22.4,가을,54.0,14.0,62.802,76.80199999999999,2021-10,63884.9342,1014725.0,1219.8949631226196,13.174865601724292,1.0626294357164232,4.766803844418773,5.829433280135195,6944014.586956522,8348.04347826087,96.0025,0.1458295356891747,0.6541704643108253,0.7999999999999999
2021-10-02 11:00:00,107.99,108.146,강남,84.0,2021,10.0,02,11,2021-10-02,23.0,가을,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958525,12.975360788115204,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875,0.1480717619217599,0.65192823807824,0.8
2021-10-02 12:00:00,107.68,108.146,강남,81.0,2021,10.0,02,12,2021-10-02,25.0,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-02 13:00:00,107.52,108.146,강남,82.0,2021,10.0,02,13,2021-10-02,26.2,가을,55.0,14.0,63.965,77.965,2021-10,63884.9342,1014725.0,1238.3676310493877,13.374370415333384,1.0467782456473127,4.782655034487883,5.829433280135195,6944014.586956522,8474.456521739132,97.45625,0.1436542038094016,0.6563457961905983,0.7999999999999999
2021-10-02 14:00:00,110.17,108.146,강남,83.0,2021,10.0,02,14,2021-10-02,26.6,가을,56.0,14.0,65.128,79.128,2021-10,63884.9342,1014725.0,1256.840298976155,13.573875228942477,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,8600.869565217392,98.91,0.1415428167020523,0.6584571832979476,0.7999999999999999
2021-10-02 15:00:00,111.04,108.146,강남,83.0,2021,10.0,02,15,2021-10-02,26.5,가을,49.0,14.0,56.987,70.987,2021-10,63884.9342,1014725.0,1127.5316234887816,12.177341533678842,1.1496762213066158,4.67975705882858,5.829433280135195,6944014.586956522,7715.978260869565,88.73375,0.157775367320777,0.642224632679223,0.7999999999999999
2021-10-02 16:00:00,111.15,108.146,강남,82.0,2021,10.0,02,16,2021-10-02,26.3,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-02 17:00:00,111.78,108.146,강남,83.0,2021,10.0,02,17,2021-10-02,25.4,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-02 18:00:00,111.78,108.146,강남,84.0,2021,10.0,02,18,2021-10-02,24.0,가을,54.0,14.0,62.802,76.80199999999999,2021-10,63884.9342,1014725.0,1219.8949631226196,13.174865601724292,1.0626294357164232,4.766803844418773,5.829433280135195,6944014.586956522,8348.04347826087,96.0025,0.1458295356891747,0.6541704643108253,0.7999999999999999
2021-10-02 19:00:00,112.52,108.146,강남,78.0,2021,10.0,02,19,2021-10-02,21.0,가을,53.0,14.0,61.639,75.63900000000001,2021-10,63884.9342,1014725.0,1201.4222951958525,12.975360788115204,1.0789680709937033,4.750465209141491,5.829433280135195,6944014.586956522,8221.63043478261,94.54875,0.1480717619217599,0.65192823807824,0.8
2021-10-02 20:00:00,112.52,108.146,강남,80.0,2021,10.0,02,20,2021-10-02,20.9,가을,48.0,14.0,55.824,69.824,2021-10,63884.9342,1014725.0,1109.058955562014,11.977836720069751,1.1688254170756864,4.660607863059508,5.829433280135194,6944014.586956522,7589.565217391304,87.28,0.1604032997250229,0.6395967002749771,0.7999999999999999
2021-10-02 21:00:00,112.52,108.146,강남,78.0,2021,10.0,02,21,2021-10-02,20.3,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-02 22:00:00,110.82,108.146,강남,80.0,2021,10.0,02,22,2021-10-02,19.4,가을,49.0,13.0,56.987,69.987,2021-10,63884.9342,1014725.0,1111.6479881261266,12.005798271762169,1.0828101310494456,4.7466231490857504,5.829433280135195,6944014.586956522,7607.282608695652,87.48375,0.1485990255333133,0.6514009744666867,0.7999999999999999
2021-10-02 23:00:00,109.68,108.146,강남,79.0,2021,10.0,02,23,2021-10-02,19.9,가을,52.0,13.0,60.476,73.476,2021-10,63884.9342,1014725.0,1167.0659919064296,12.60431271258944,1.0313930078087747,4.79804027232642,5.829433280135195,6944014.586956522,7986.521739130435,91.845,0.1415428167020523,0.6584571832979477,0.8
2021-10-03 00:00:00,107.88,108.146,강남,63.0,2021,10.0,03,00,2021-10-03,18.5,가을,52.0,14.0,60.476,74.476,2021-10,63884.9342,1014725.0,1182.9496272690844,12.775855974506111,1.0958169869742298,4.733616293160965,5.829433280135195,6944014.586956522,8095.217391304348,93.095,0.1503840163274075,0.6496159836725925,0.8
2021-10-03 01:00:00,106.57,108.146,강남,65.0,2021,10.0,03,01,2021-10-03,18.0,가을,44.0,13.0,51.172,64.172,2021-10,63884.9342,1014725.0,1019.2846484922889,11.008274203716718,1.1809298859589468,4.648503394176249,5.829433280135195,6944014.586956522,6975.217391304348,80.215,0.1620644517858256,0.6379355482141744,0.7999999999999999
2021-10-03 02:00:00,105.32,108.146,강남,46.0,2021,10.0,03,02,2021-10-03,18.0,가을,57.0,13.0,66.291,79.291,2021-10,63884.9342,1014725.0,1259.4293315402676,13.60183678063489,0.9557532713896602,4.873680008745535,5.829433280135196,6944014.586956522,8618.58695652174,99.11375,0.1311624270093705,0.6688375729906294,0.7999999999999999
